Turn: R30    | Dial: 50 -> 80 | Zero passes: 0
Turn: R49    | Dial:  9 -> 58 | Zero passes: 28
Turn: L74    | Dial: 58 -> 84 | Zero passes: 29
Turn: L84    | Dial: 84 ->  0 | Zero passes: 30  <== HIT 0!
Turn: R12    | Dial:  0 -> 12 | Zero passes: 30
Turn: L99    | Dial: 12 -> 13 | Zero passes: 31
Turn: L13    | Dial: 13 ->  0 | Zero passes: 32  <== HIT 0!
Turn: L1     | Dial:  0 -> 99 | Zero passes: 32
Turn: L35    | Dial: 99 -> 64 | Zero passes: 32
Turn: L13    | Dial: 64 -> 51 | Zero passes: 32
Turn: L37    | Dial: 51 -> 14 | Zero passes: 32
Turn: L14    | Dial: 14 ->  0 | Zero passes: 33  <== HIT 0!
Turn: R31    | Dial:  0 -> 31 | Zero passes: 33
Turn: R45    | Dial: 31 -> 76 | Zero passes: 33
Turn: L76    | Dial: 76 ->  0 | Zero passes: 34  <== HIT 0!
Turn: L38    | Dial:  0 -> 62 | Zero passes: 34
Turn: R40    | Dial: 62 ->  2 | Zero passes: 35
Turn: L33    | Dial:  2 -> 69 | Zero passes: 36
Turn: L25    | Dial: 69 -> 44 | Zero passes: 36
Turn: R77    | Dial: 44 -> 21 | Zero passes: 37
Turn: R79    | Dial: 21 ->  0 | Zero passes: 38  <== HIT 0!
Turn: L38    | Dial:  0 -> 62 | Zero passes: 38
Turn: R38    | Dial: 62 ->  0 | Zero passes: 39  <== HIT 0!
Turn: R90    | Dial:  0 -> 90 | Zero passes: 39
Turn: R10    | Dial: 90 ->  0 | Zero passes: 40  <== HIT 0!
Turn: L41    | Dial:  0 -> 59 | Zero passes: 40
Turn: L53    | Dial: 59 ->  6 | Zero passes: 40
Turn: R27    | Dial:  6 -> 33 | Zero passes: 40
Turn: R27    | Dial: 33 -> 60 | Zero passes: 40
Turn: L60    | Dial: 60 ->  0 | Zero passes: 41  <== HIT 0!
Turn: L5     | Dial:  0 -> 95 | Zero passes: 41
Turn: R50    | Dial: 95 -> 45 | Zero passes: 42
Turn: R77    | Dial: 45 -> 22 | Zero passes: 43
Turn: R10    | Dial: 22 -> 32 | Zero passes: 43
Turn: L32    | Dial: 32 ->  0 | Zero passes: 44  <== HIT 0!
Turn: L80    | Dial:  0 -> 20 | Zero passes: 44
Turn: L75    | Dial: 20 -> 45 | Zero passes: 45
Turn: R98    | Dial: 45 -> 43 | Zero passes: 46
Turn: L11    | Dial: 43 -> 32 | Zero passes: 46
Turn: L87    | Dial: 32 -> 45 | Zero passes: 47
Turn: L24    | Dial: 45 -> 21 | Zero passes: 47
Turn: R81    | Dial: 21 ->  2 | Zero passes: 48
Turn: R73    | Dial:  2 -> 75 | Zero passes: 48
Turn: R25    | Dial: 75 ->  0 | Zero passes: 49  <== HIT 0!
Turn: L25    | Dial:  0 -> 75 | Zero passes: 49
Turn: R10    | Dial: 75 -> 85 | Zero passes: 49
Turn: R37    | Dial: 85 -> 22 | Zero passes: 50
Turn: L22    | Dial: 22 ->  0 | Zero passes: 51  <== HIT 0!
Turn: L84    | Dial:  0 -> 16 | Zero passes: 51
Turn: R284   | Dial: 16 ->  0 | Zero passes: 54  <== HIT 0!
Turn: L76    | Dial:  0 -> 24 | Zero passes: 54
Turn: R976   | Dial: 24 ->  0 | Zero passes: 64  <== HIT 0!
Turn: R54    | Dial:  0 -> 54 | Zero passes: 64
Turn: L54    | Dial: 54 ->  0 | Zero passes: 65  <== HIT 0!
Turn: R29    | Dial:  0 -> 29 | Zero passes: 65
Turn: R42    | Dial: 29 -> 71 | Zero passes: 65
Turn: R229   | Dial: 71 ->  0 | Zero passes: 68  <== HIT 0!
Turn: R32    | Dial:  0 -> 32 | Zero passes: 68
Turn: L72    | Dial: 32 -> 60 | Zero passes: 69
Turn: R81    | Dial: 60 -> 41 | Zero passes: 70
Turn: R767   | Dial: 41 ->  8 | Zero passes: 78
Turn: R492   | Dial:  8 ->  0 | Zero passes: 83  <== HIT 0!
Turn: R74    | Dial:  0 -> 74 | Zero passes: 83
Turn: L22    | Dial: 74 -> 52 | Zero passes: 83
Turn: R48    | Dial: 52 ->  0 | Zero passes: 84  <== HIT 0!
Turn: L95    | Dial:  0 ->  5 | Zero passes: 84
Turn: R12    | Dial:  5 -> 17 | Zero passes: 84
Turn: L74    | Dial: 17 -> 43 | Zero passes: 85
Turn: R57    | Dial: 43 ->  0 | Zero passes: 86  <== HIT 0!
Turn: L67    | Dial:  0 -> 33 | Zero passes: 86
Turn: R167   | Dial: 33 ->  0 | Zero passes: 88  <== HIT 0!
Turn: L23    | Dial:  0 -> 77 | Zero passes: 88
Turn: R41    | Dial: 77 -> 18 | Zero passes: 89
Turn: R7     | Dial: 18 -> 25 | Zero passes: 89
Turn: R75    | Dial: 25 ->  0 | Zero passes: 90  <== HIT 0!
Turn: L85    | Dial:  0 -> 15 | Zero passes: 90
Turn: R85    | Dial: 15 ->  0 | Zero passes: 91  <== HIT 0!
Turn: R68    | Dial:  0 -> 68 | Zero passes: 91
Turn: L69    | Dial: 68 -> 99 | Zero passes: 92
Turn: L3     | Dial: 99 -> 96 | Zero passes: 92
Turn: L42    | Dial: 96 -> 54 | Zero passes: 92
Turn: R214   | Dial: 54 -> 68 | Zero passes: 94
Turn: L11    | Dial: 68 -> 57 | Zero passes: 94
Turn: R69    | Dial: 57 -> 26 | Zero passes: 95
Turn: L68    | Dial: 26 -> 58 | Zero passes: 96
Turn: R32    | Dial: 58 -> 90 | Zero passes: 96
Turn: L572   | Dial: 90 -> 18 | Zero passes: 101
Turn: L93    | Dial: 18 -> 25 | Zero passes: 102
Turn: R65    | Dial: 25 -> 90 | Zero passes: 102
Turn: L19    | Dial: 90 -> 71 | Zero passes: 102
Turn: L726   | Dial: 71 -> 45 | Zero passes: 109
Turn: L45    | Dial: 45 ->  0 | Zero passes: 110  <== HIT 0!
Turn: L21    | Dial:  0 -> 79 | Zero passes: 110
Turn: R21    | Dial: 79 ->  0 | Zero passes: 111  <== HIT 0!
Turn: R496   | Dial:  0 -> 96 | Zero passes: 115
Turn: L96    | Dial: 96 ->  0 | Zero passes: 116  <== HIT 0!
Turn: L21    | Dial:  0 -> 79 | Zero passes: 116
Turn: R14    | Dial: 79 -> 93 | Zero passes: 116
Turn: L51    | Dial: 93 -> 42 | Zero passes: 116
Turn: R641   | Dial: 42 -> 83 | Zero passes: 122
Turn: R17    | Dial: 83 ->  0 | Zero passes: 123  <== HIT 0!
Turn: R15    | Dial:  0 -> 15 | Zero passes: 123
Turn: L732   | Dial: 15 -> 83 | Zero passes: 131
Turn: L10    | Dial: 83 -> 73 | Zero passes: 131
Turn: R27    | Dial: 73 ->  0 | Zero passes: 132  <== HIT 0!
Turn: R41    | Dial:  0 -> 41 | Zero passes: 132
Turn: R59    | Dial: 41 ->  0 | Zero passes: 133  <== HIT 0!
Turn: L63    | Dial:  0 -> 37 | Zero passes: 133
Turn: R940   | Dial: 37 -> 77 | Zero passes: 142
Turn: L27    | Dial: 77 -> 50 | Zero passes: 142
Turn: L50    | Dial: 50 ->  0 | Zero passes: 143  <== HIT 0!
Turn: R73    | Dial:  0 -> 73 | Zero passes: 143
Turn: R61    | Dial: 73 -> 34 | Zero passes: 144
Turn: L6     | Dial: 34 -> 28 | Zero passes: 144
Turn: R14    | Dial: 28 -> 42 | Zero passes: 144
Turn: R58    | Dial: 42 ->  0 | Zero passes: 145  <== HIT 0!
Turn: R82    | Dial:  0 -> 82 | Zero passes: 145
Turn: R91    | Dial: 82 -> 73 | Zero passes: 146
Turn: L46    | Dial: 73 -> 27 | Zero passes: 146
Turn: L65    | Dial: 27 -> 62 | Zero passes: 147
Turn: R38    | Dial: 62 ->  0 | Zero passes: 148  <== HIT 0!
Turn: L21    | Dial:  0 -> 79 | Zero passes: 148
Turn: L79    | Dial: 79 ->  0 | Zero passes: 149  <== HIT 0!
Turn: L74    | Dial:  0 -> 26 | Zero passes: 149
Turn: L33    | Dial: 26 -> 93 | Zero passes: 150
Turn: L45    | Dial: 93 -> 48 | Zero passes: 150
Turn: L379   | Dial: 48 -> 69 | Zero passes: 154
Turn: R31    | Dial: 69 ->  0 | Zero passes: 155  <== HIT 0!
Turn: R97    | Dial:  0 -> 97 | Zero passes: 155
Turn: R60    | Dial: 97 -> 57 | Zero passes: 156
Turn: R543   | Dial: 57 ->  0 | Zero passes: 162  <== HIT 0!
Turn: L49    | Dial:  0 -> 51 | Zero passes: 162
Turn: R242   | Dial: 51 -> 93 | Zero passes: 164
Turn: R746   | Dial: 93 -> 39 | Zero passes: 172
Turn: R49    | Dial: 39 -> 88 | Zero passes: 172
Turn: L31    | Dial: 88 -> 57 | Zero passes: 172
Turn: R2     | Dial: 57 -> 59 | Zero passes: 172
Turn: L306   | Dial: 59 -> 53 | Zero passes: 175
Turn: R94    | Dial: 53 -> 47 | Zero passes: 176
Turn: R27    | Dial: 47 -> 74 | Zero passes: 176
Turn: R975   | Dial: 74 -> 49 | Zero passes: 186
Turn: R36    | Dial: 49 -> 85 | Zero passes: 186
Turn: L85    | Dial: 85 ->  0 | Zero passes: 187  <== HIT 0!
Turn: R93    | Dial:  0 -> 93 | Zero passes: 187
Turn: L4     | Dial: 93 -> 89 | Zero passes: 187
Turn: L480   | Dial: 89 ->  9 | Zero passes: 191
Turn: R61    | Dial:  9 -> 70 | Zero passes: 191
Turn: R30    | Dial: 70 ->  0 | Zero passes: 192  <== HIT 0!
Turn: L98    | Dial:  0 ->  2 | Zero passes: 192
Turn: L74    | Dial:  2 -> 28 | Zero passes: 193
Turn: L11    | Dial: 28 -> 17 | Zero passes: 193
Turn: L17    | Dial: 17 ->  0 | Zero passes: 194  <== HIT 0!
Turn: R78    | Dial:  0 -> 78 | Zero passes: 194
Turn: R55    | Dial: 78 -> 33 | Zero passes: 195
Turn: R367   | Dial: 33 ->  0 | Zero passes: 199  <== HIT 0!
Turn: L91    | Dial:  0 ->  9 | Zero passes: 199
Turn: L54    | Dial:  9 -> 55 | Zero passes: 200
Turn: L95    | Dial: 55 -> 60 | Zero passes: 201
Turn: L60    | Dial: 60 ->  0 | Zero passes: 202  <== HIT 0!
Turn: R41    | Dial:  0 -> 41 | Zero passes: 202
Turn: L14    | Dial: 41 -> 27 | Zero passes: 202
Turn: R73    | Dial: 27 ->  0 | Zero passes: 203  <== HIT 0!
Turn: L44    | Dial:  0 -> 56 | Zero passes: 203
Turn: L9     | Dial: 56 -> 47 | Zero passes: 203
Turn: R844   | Dial: 47 -> 91 | Zero passes: 211
Turn: R2     | Dial: 91 -> 93 | Zero passes: 211
Turn: R82    | Dial: 93 -> 75 | Zero passes: 212
Turn: L75    | Dial: 75 ->  0 | Zero passes: 213  <== HIT 0!
Turn: R44    | Dial:  0 -> 44 | Zero passes: 213
Turn: R56    | Dial: 44 ->  0 | Zero passes: 214  <== HIT 0!
Turn: R97    | Dial:  0 -> 97 | Zero passes: 214
Turn: R3     | Dial: 97 ->  0 | Zero passes: 215  <== HIT 0!
Turn: L40    | Dial:  0 -> 60 | Zero passes: 215
Turn: L95    | Dial: 60 -> 65 | Zero passes: 216
Turn: R935   | Dial: 65 ->  0 | Zero passes: 226  <== HIT 0!
Turn: L57    | Dial:  0 -> 43 | Zero passes: 226
Turn: L1     | Dial: 43 -> 42 | Zero passes: 226
Turn: R43    | Dial: 42 -> 85 | Zero passes: 226
Turn: L85    | Dial: 85 ->  0 | Zero passes: 227  <== HIT 0!
Turn: L15    | Dial:  0 -> 85 | Zero passes: 227
Turn: L48    | Dial: 85 -> 37 | Zero passes: 227
Turn: L837   | Dial: 37 ->  0 | Zero passes: 236  <== HIT 0!
Turn: R55    | Dial:  0 -> 55 | Zero passes: 236
Turn: L78    | Dial: 55 -> 77 | Zero passes: 237
Turn: R402   | Dial: 77 -> 79 | Zero passes: 241
Turn: R424   | Dial: 79 ->  3 | Zero passes: 246
Turn: L98    | Dial:  3 ->  5 | Zero passes: 247
Turn: R95    | Dial:  5 ->  0 | Zero passes: 248  <== HIT 0!
Turn: L38    | Dial:  0 -> 62 | Zero passes: 248
Turn: R38    | Dial: 62 ->  0 | Zero passes: 249  <== HIT 0!
Turn: L90    | Dial:  0 -> 10 | Zero passes: 249
Turn: R490   | Dial: 10 ->  0 | Zero passes: 254  <== HIT 0!
Turn: R54    | Dial:  0 -> 54 | Zero passes: 254
Turn: L9     | Dial: 54 -> 45 | Zero passes: 254
Turn: R81    | Dial: 45 -> 26 | Zero passes: 255
Turn: L2     | Dial: 26 -> 24 | Zero passes: 255
Turn: L924   | Dial: 24 ->  0 | Zero passes: 265  <== HIT 0!
Turn: R78    | Dial:  0 -> 78 | Zero passes: 265
Turn: L32    | Dial: 78 -> 46 | Zero passes: 265
Turn: L46    | Dial: 46 ->  0 | Zero passes: 266  <== HIT 0!
Turn: L5     | Dial:  0 -> 95 | Zero passes: 266
Turn: L395   | Dial: 95 ->  0 | Zero passes: 270  <== HIT 0!
Turn: R53    | Dial:  0 -> 53 | Zero passes: 270
Turn: L53    | Dial: 53 ->  0 | Zero passes: 271  <== HIT 0!
Turn: L22    | Dial:  0 -> 78 | Zero passes: 271
Turn: R22    | Dial: 78 ->  0 | Zero passes: 272  <== HIT 0!
Turn: R74    | Dial:  0 -> 74 | Zero passes: 272
Turn: L74    | Dial: 74 ->  0 | Zero passes: 273  <== HIT 0!
Turn: L16    | Dial:  0 -> 84 | Zero passes: 273
Turn: L63    | Dial: 84 -> 21 | Zero passes: 273
Turn: R37    | Dial: 21 -> 58 | Zero passes: 273
Turn: L58    | Dial: 58 ->  0 | Zero passes: 274  <== HIT 0!
Turn: R566   | Dial:  0 -> 66 | Zero passes: 279
Turn: R34    | Dial: 66 ->  0 | Zero passes: 280  <== HIT 0!
Turn: L707   | Dial:  0 -> 93 | Zero passes: 287
Turn: L93    | Dial: 93 ->  0 | Zero passes: 288  <== HIT 0!
Turn: R30    | Dial:  0 -> 30 | Zero passes: 288
Turn: L887   | Dial: 30 -> 43 | Zero passes: 297
Turn: R4     | Dial: 43 -> 47 | Zero passes: 297
Turn: L526   | Dial: 47 -> 21 | Zero passes: 302
Turn: L21    | Dial: 21 ->  0 | Zero passes: 303  <== HIT 0!
Turn: R79    | Dial:  0 -> 79 | Zero passes: 303
Turn: L53    | Dial: 79 -> 26 | Zero passes: 303
Turn: L526   | Dial: 26 ->  0 | Zero passes: 309  <== HIT 0!
Turn: R9     | Dial:  0 ->  9 | Zero passes: 309
Turn: L9     | Dial:  9 ->  0 | Zero passes: 310  <== HIT 0!
Turn: R89    | Dial:  0 -> 89 | Zero passes: 310
Turn: R468   | Dial: 89 -> 57 | Zero passes: 315
Turn: R43    | Dial: 57 ->  0 | Zero passes: 316  <== HIT 0!
Turn: L22    | Dial:  0 -> 78 | Zero passes: 316
Turn: L78    | Dial: 78 ->  0 | Zero passes: 317  <== HIT 0!
Turn: R62    | Dial:  0 -> 62 | Zero passes: 317
Turn: L62    | Dial: 62 ->  0 | Zero passes: 318  <== HIT 0!
Turn: L149   | Dial:  0 -> 51 | Zero passes: 319
Turn: L51    | Dial: 51 ->  0 | Zero passes: 320  <== HIT 0!
Turn: R45    | Dial:  0 -> 45 | Zero passes: 320
Turn: R55    | Dial: 45 ->  0 | Zero passes: 321  <== HIT 0!
Turn: L4     | Dial:  0 -> 96 | Zero passes: 321
Turn: L90    | Dial: 96 ->  6 | Zero passes: 321
Turn: R93    | Dial:  6 -> 99 | Zero passes: 321
Turn: R59    | Dial: 99 -> 58 | Zero passes: 322
Turn: L39    | Dial: 58 -> 19 | Zero passes: 322
Turn: R84    | Dial: 19 ->  3 | Zero passes: 323
Turn: L3     | Dial:  3 ->  0 | Zero passes: 324  <== HIT 0!
Turn: L371   | Dial:  0 -> 29 | Zero passes: 327
Turn: R44    | Dial: 29 -> 73 | Zero passes: 327
Turn: L1     | Dial: 73 -> 72 | Zero passes: 327
Turn: L72    | Dial: 72 ->  0 | Zero passes: 328  <== HIT 0!
Turn: L12    | Dial:  0 -> 88 | Zero passes: 328
Turn: L2     | Dial: 88 -> 86 | Zero passes: 328
Turn: L86    | Dial: 86 ->  0 | Zero passes: 329  <== HIT 0!
Turn: R46    | Dial:  0 -> 46 | Zero passes: 329
Turn: L346   | Dial: 46 ->  0 | Zero passes: 333  <== HIT 0!
Turn: R40    | Dial:  0 -> 40 | Zero passes: 333
Turn: R22    | Dial: 40 -> 62 | Zero passes: 333
Turn: L33    | Dial: 62 -> 29 | Zero passes: 333
Turn: R38    | Dial: 29 -> 67 | Zero passes: 333
Turn: L5     | Dial: 67 -> 62 | Zero passes: 333
Turn: R84    | Dial: 62 -> 46 | Zero passes: 334
Turn: L70    | Dial: 46 -> 76 | Zero passes: 335
Turn: R20    | Dial: 76 -> 96 | Zero passes: 335
Turn: R4     | Dial: 96 ->  0 | Zero passes: 336  <== HIT 0!
Turn: R987   | Dial:  0 -> 87 | Zero passes: 345
Turn: R98    | Dial: 87 -> 85 | Zero passes: 346
Turn: L88    | Dial: 85 -> 97 | Zero passes: 347
Turn: R3     | Dial: 97 ->  0 | Zero passes: 348  <== HIT 0!
Turn: R65    | Dial:  0 -> 65 | Zero passes: 348
Turn: R52    | Dial: 65 -> 17 | Zero passes: 349
Turn: L67    | Dial: 17 -> 50 | Zero passes: 350
Turn: R7     | Dial: 50 -> 57 | Zero passes: 350
Turn: L80    | Dial: 57 -> 77 | Zero passes: 351
Turn: R23    | Dial: 77 ->  0 | Zero passes: 352  <== HIT 0!
Turn: L46    | Dial:  0 -> 54 | Zero passes: 352
Turn: R64    | Dial: 54 -> 18 | Zero passes: 353
Turn: R82    | Dial: 18 ->  0 | Zero passes: 354  <== HIT 0!
Turn: L82    | Dial:  0 -> 18 | Zero passes: 354
Turn: R31    | Dial: 18 -> 49 | Zero passes: 354
Turn: L95    | Dial: 49 -> 54 | Zero passes: 355
Turn: R62    | Dial: 54 -> 16 | Zero passes: 356
Turn: L80    | Dial: 16 -> 36 | Zero passes: 357
Turn: R164   | Dial: 36 ->  0 | Zero passes: 359  <== HIT 0!
Turn: L91    | Dial:  0 ->  9 | Zero passes: 359
Turn: L81    | Dial:  9 -> 28 | Zero passes: 360
Turn: R72    | Dial: 28 ->  0 | Zero passes: 361  <== HIT 0!
Turn: R33    | Dial:  0 -> 33 | Zero passes: 361
Turn: L33    | Dial: 33 ->  0 | Zero passes: 362  <== HIT 0!
Turn: L99    | Dial:  0 ->  1 | Zero passes: 362
Turn: R93    | Dial:  1 -> 94 | Zero passes: 362
Turn: L94    | Dial: 94 ->  0 | Zero passes: 363  <== HIT 0!
Turn: R584   | Dial:  0 -> 84 | Zero passes: 368
Turn: R16    | Dial: 84 ->  0 | Zero passes: 369  <== HIT 0!
Turn: L31    | Dial:  0 -> 69 | Zero passes: 369
Turn: R77    | Dial: 69 -> 46 | Zero passes: 370
Turn: R48    | Dial: 46 -> 94 | Zero passes: 370
Turn: R6     | Dial: 94 ->  0 | Zero passes: 371  <== HIT 0!
Turn: R80    | Dial:  0 -> 80 | Zero passes: 371
Turn: R697   | Dial: 80 -> 77 | Zero passes: 378
Turn: R23    | Dial: 77 ->  0 | Zero passes: 379  <== HIT 0!
Turn: L62    | Dial:  0 -> 38 | Zero passes: 379
Turn: R65    | Dial: 38 ->  3 | Zero passes: 380
Turn: L75    | Dial:  3 -> 28 | Zero passes: 381
Turn: R41    | Dial: 28 -> 69 | Zero passes: 381
Turn: R58    | Dial: 69 -> 27 | Zero passes: 382
Turn: L27    | Dial: 27 ->  0 | Zero passes: 383  <== HIT 0!
Turn: R38    | Dial:  0 -> 38 | Zero passes: 383
Turn: L438   | Dial: 38 ->  0 | Zero passes: 388  <== HIT 0!
Turn: L41    | Dial:  0 -> 59 | Zero passes: 388
Turn: L515   | Dial: 59 -> 44 | Zero passes: 393
Turn: R746   | Dial: 44 -> 90 | Zero passes: 400
Turn: L90    | Dial: 90 ->  0 | Zero passes: 401  <== HIT 0!
Turn: L14    | Dial:  0 -> 86 | Zero passes: 401
Turn: L205   | Dial: 86 -> 81 | Zero passes: 403
Turn: R19    | Dial: 81 ->  0 | Zero passes: 404  <== HIT 0!
Turn: L2     | Dial:  0 -> 98 | Zero passes: 404
Turn: R41    | Dial: 98 -> 39 | Zero passes: 405
Turn: R61    | Dial: 39 ->  0 | Zero passes: 406  <== HIT 0!
Turn: L87    | Dial:  0 -> 13 | Zero passes: 406
Turn: L13    | Dial: 13 ->  0 | Zero passes: 407  <== HIT 0!
Turn: R1     | Dial:  0 ->  1 | Zero passes: 407
Turn: R23    | Dial:  1 -> 24 | Zero passes: 407
Turn: R196   | Dial: 24 -> 20 | Zero passes: 409
Turn: L50    | Dial: 20 -> 70 | Zero passes: 410
Turn: R76    | Dial: 70 -> 46 | Zero passes: 411
Turn: R929   | Dial: 46 -> 75 | Zero passes: 420
Turn: R25    | Dial: 75 ->  0 | Zero passes: 421  <== HIT 0!
Turn: R945   | Dial:  0 -> 45 | Zero passes: 430
Turn: R28    | Dial: 45 -> 73 | Zero passes: 430
Turn: L76    | Dial: 73 -> 97 | Zero passes: 431
Turn: R70    | Dial: 97 -> 67 | Zero passes: 432
Turn: R47    | Dial: 67 -> 14 | Zero passes: 433
Turn: L62    | Dial: 14 -> 52 | Zero passes: 434
Turn: L55    | Dial: 52 -> 97 | Zero passes: 435
Turn: R40    | Dial: 97 -> 37 | Zero passes: 436
Turn: L251   | Dial: 37 -> 86 | Zero passes: 439
Turn: R50    | Dial: 86 -> 36 | Zero passes: 440
Turn: R982   | Dial: 36 -> 18 | Zero passes: 450
Turn: L18    | Dial: 18 ->  0 | Zero passes: 451  <== HIT 0!
Turn: R9     | Dial:  0 ->  9 | Zero passes: 451
Turn: R2     | Dial:  9 -> 11 | Zero passes: 451
Turn: L79    | Dial: 11 -> 32 | Zero passes: 452
Turn: R733   | Dial: 32 -> 65 | Zero passes: 459
Turn: R59    | Dial: 65 -> 24 | Zero passes: 460
Turn: L24    | Dial: 24 ->  0 | Zero passes: 461  <== HIT 0!
Turn: L49    | Dial:  0 -> 51 | Zero passes: 461
Turn: R57    | Dial: 51 ->  8 | Zero passes: 462
Turn: L48    | Dial:  8 -> 60 | Zero passes: 463
Turn: L28    | Dial: 60 -> 32 | Zero passes: 463
Turn: L31    | Dial: 32 ->  1 | Zero passes: 463
Turn: R99    | Dial:  1 ->  0 | Zero passes: 464  <== HIT 0!
Turn: R65    | Dial:  0 -> 65 | Zero passes: 464
Turn: L65    | Dial: 65 ->  0 | Zero passes: 465  <== HIT 0!
Turn: L1     | Dial:  0 -> 99 | Zero passes: 465
Turn: R115   | Dial: 99 -> 14 | Zero passes: 467
Turn: L87    | Dial: 14 -> 27 | Zero passes: 468
Turn: L97    | Dial: 27 -> 30 | Zero passes: 469
